Order_ID,Customer_ID,Order_Date,Customer_Age,Gender,City,Product_Category,Quantity,Unit_Price,Payment_Method,Order_Status,Total_Amount
O0001,C0103,2026-01-01,56.0,Male,Madurai,Electronics,2,3181,Net Banking,Completed,6362
O0002,C0180,2026-01-02,22.0,Male,Erode,Furniture,2,1528,UPI,Returned,3056
O0003,C0093,2026-01-03,39.0,Male,Chennai,Furniture,1,4067,Net Banking,Completed,4067
O0004,C0015,2026-01-04,46.0,Male,Coimbatore,Electronics,3,6545,UPI,Returned,19635
O0005,C0107,2026-01-05,20.0,Male,Madurai,Furniture,5,9214,UPI,Completed,46070
O0006,C0072,2026-01-06,29.0,Male,Chennai,Furniture,2,2259,Card,Completed,4518
O0007,C0189,2026-01-07,43.0,Female,Erode,Clothing,2,5232,Cash,Completed,10464
O0008,C0021,2026-01-08,33.0,Male,Chennai,Grocery,4,2647,Net Banking,Cancelled,10588
O0009,C0103,2026-01-09,54.0,Female,Coimbatore,Furniture,5,3079,Card,Completed,15395
O0010,C0122,2026-01-10,39.0,Female,Salem,Clothing,5,2749,UPI,Completed,13745
O0011,C0075,2026-01-11,41.0,Male,Chennai,Grocery,2,8605,Net Banking,Completed,17210
O0012,C0088,2026-01-12,31.0,Female,Chennai,Electronics,1,3183,UPI,Returned,3183
O0013,C0117,2026-01-13,45.0,Female,Erode,Clothing,4,1137,Cash,Completed,4548
O0014,C0100,2026-01-14,22.0,Female,Erode,Clothing,5,3589,Card,Returned,17945
O0015,C0104,2026-01-15,64.0,Female,Madurai,Grocery,2,7704,Cash,Completed,15408
O0016,C0152,2026-01-16,47.0,Male,Erode,Electronics,5,7644,Card,Completed,38220
O0017,C0131,2026-01-17,63.0,Female,Trichy,Clothing,4,2734,UPI,Cancelled,10936
O0018,C0150,2026-01-18,22.0,Male,Coimbatore,Furniture,4,4083,Cash,Returned,16332
O0019,C0053,2026-01-19,29.0,Female,Coimbatore,Furniture,3,1878,Cash,Completed,5634
O0020,C0002,2026-01-20,33.0,Female,Salem,Furniture,2,8002,UPI,Returned,16004
O0021,C0088,2026-01-21,43.0,Male,Salem,Electronics,4,5210,Cash,Returned,20840
O0022,C0158,2026-01-22,43.0,Female,Coimbatore,Clothing,3,5289,Net Banking,Cancelled,15867
O0023,C0038,2026-01-23,38.0,Female,Salem,Furniture,3,7478,Card,Cancelled,22434
O0024,C0130,2026-01-24,56.0,Female,Madurai,Electronics,5,1224,Card,Cancelled,6120
O0025,C0192,2026-01-25,53.0,Male,Erode,Furniture,5,797,Card,Cancelled,3985
O0026,C0188,2026-01-26,50.0,Female,Salem,Grocery,3,2279,Net Banking,Cancelled,6837
O0027,C0021,2026-01-27,47.0,Male,Salem,Clothing,5,9696,Card,Cancelled,48480
O0028,C0161,2026-01-28,54.0,Female,Coimbatore,Clothing,4,5351,UPI,Cancelled,21404
O0029,C0058,2026-01-29,40.0,Male,Trichy,Electronics,1,9335,Cash,Cancelled,9335
O0030,C0022,2026-01-30,27.0,Male,Chennai,Electronics,4,2029,Net Banking,Completed,8116
O0031,C0089,2026-01-31,22.0,Female,Erode,Clothing,3,1113,Card,Returned,3339
O0032,C0049,2026-02-01,53.0,Female,Coimbatore,Furniture,3,326,UPI,Cancelled,978
O0033,C0059,2026-02-02,51.0,Male,Chennai,Furniture,4,7421,Cash,Cancelled,29684
O0034,C0170,2026-02-03,48.0,Male,Salem,Grocery,5,1928,Cash,Returned,9640
O0035,C0188,2026-02-04,27.0,Female,Chennai,Furniture,5,8009,Net Banking,Completed,40045
